emp_no,last_name,title,from_date,birth_date,first_name,to_date
10215,Duclos,Senior Staff,1991-11-23,1954-04-02,Xiaobin,9999-01-01
10224,Trogemann,Engineer,1988-01-09,1954-05-17,Leon,1996-01-09
10224,Trogemann,Senior Engineer,1996-01-09,1954-05-17,Leon,9999-01-01
10233,Vendrig,Senior Staff,2000-04-28,1954-04-01,Lein,9999-01-01
10233,Vendrig,Staff,1994-04-29,1954-04-01,Lein,2000-04-28
10258,Ishibashi,Assistant Engineer,1985-05-17,1955-12-12,Basil,1991-05-17
10258,Ishibashi,Engineer,1991-05-17,1955-12-12,Basil,1997-05-16
10258,Ishibashi,Senior Engineer,1997-05-16,1955-12-12,Basil,9999-01-01
10272,Cannane,Staff,1997-10-23,1954-11-30,Yishai,9999-01-01
10282,Benzmuller,Assistant Engineer,1996-05-02,1953-11-27,Hercules,2001-05-02
10282,Benzmuller,Engineer,2001-05-02,1953-11-27,Hercules,9999-01-01
10283,Birjandi,Engineer,1988-05-25,1953-07-08,Kauko,1995-05-26
10283,Birjandi,Senior Engineer,1995-05-26,1953-07-08,Kauko,9999-01-01
10326,Czap,Staff,1998-09-02,1953-02-13,Masali,9999-01-01
10340,Laventhal,Senior Staff,1993-03-30,1952-08-20,Djelloul,9999-01-01
10340,Laventhal,Staff,1988-03-30,1952-08-20,Djelloul,1993-03-30
10347,Kaminger,Staff,1998-02-20,1953-10-03,Pradeep,9999-01-01
10355,Cochrane,Staff,1996-01-26,1952-12-10,Satyanarayana,9999-01-01
10356,Standera,Senior Staff,1995-06-26,1952-08-12,Vasilis,9999-01-01
10364,Dengi,Senior Engineer,1985-11-14,1954-09-21,Nakhoon,9999-01-01
10372,Frijda,Technique Leader,1985-07-30,1952-04-08,Anneli,9999-01-01
10387,Wrigley,Senior Staff,1999-01-07,1952-11-03,Parto,9999-01-01
10387,Wrigley,Staff,1994-01-07,1952-11-03,Parto,1999-01-07
10396,Rahier,Senior Engineer,1986-01-11,1955-08-21,Sibyl,9999-01-01
10402,Ebeling,Technique Leader,1987-01-02,1953-07-23,Volkmar,9999-01-01
10404,Rosti,Engineer,1988-08-28,1955-04-27,Prodip,1996-08-28
10404,Rosti,Senior Engineer,1996-08-28,1955-04-27,Prodip,9999-01-01
10426,Luce,Technique Leader,1985-07-06,1955-12-28,Arunas,9999-01-01
10429,Improta,Senior Engineer,1988-09-23,1952-02-13,Martien,9999-01-01
10432,Tiemann,Senior Staff,1996-08-12,1953-11-06,Hisao,9999-01-01
10432,Tiemann,Staff,1990-08-13,1953-11-06,Hisao,1996-08-12
10451,Ranta,Assistant Engineer,1988-03-12,1952-10-06,Bodh,1993-03-12
10451,Ranta,Engineer,1993-03-12,1952-10-06,Bodh,1998-03-12
10451,Ranta,Senior Engineer,1998-03-12,1952-10-06,Bodh,9999-01-01
10453,Matzel,Senior Staff,1993-04-02,1953-07-19,Tsvetan,9999-01-01
10453,Matzel,Staff,1985-04-02,1953-07-19,Tsvetan,1993-04-02
10463,Zaiane,Staff,1994-02-17,1954-05-20,Ung,9999-01-01
10486,Kossowski,Engineer,1987-10-08,1952-08-24,Amstein,1996-10-07
10486,Kossowski,Senior Engineer,1996-10-07,1952-08-24,Amstein,9999-01-01
10494,Servieres,Engineer,1991-12-18,1953-12-21,Yakkov,2000-12-17
10494,Servieres,Senior Engineer,2000-12-17,1953-12-21,Yakkov,9999-01-01
10504,Varker,Staff,1999-10-19,1953-04-07,Xiong,9999-01-01
10512,Gihr,Senior Staff,1998-11-28,1955-11-16,Udi,9999-01-01
10512,Gihr,Staff,1989-11-28,1955-11-16,Udi,1998-11-28
10522,Cesareni,Senior Staff,1995-12-12,1955-07-24,Marke,9999-01-01
10522,Cesareni,Staff,1986-12-12,1955-07-24,Marke,1995-12-12
10548,Gunderson,Senior Staff,1993-07-04,1952-06-12,Ramalingam,9999-01-01
10548,Gunderson,Staff,1986-07-04,1952-06-12,Ramalingam,1993-07-04
10564,Thisen,Engineer,1995-11-23,1955-04-14,Jianhao,2000-11-22
10564,Thisen,Senior Engineer,2000-11-22,1955-04-14,Jianhao,9999-01-01
10623,Danlos,Engineer,1992-01-15,1953-07-11,Aleksander,1999-01-15
10623,Danlos,Senior Engineer,1999-01-15,1953-07-11,Aleksander,9999-01-01
10628,Krogh,Assistant Engineer,1987-03-14,1954-04-18,Krisda,1994-03-14
10628,Krogh,Engineer,1994-03-14,1954-04-18,Krisda,2001-03-14
10628,Krogh,Senior Engineer,2001-03-14,1954-04-18,Krisda,9999-01-01
10631,Chaudhuri,Engineer,1994-10-18,1955-05-17,Inderjeet,9999-01-01
10642,Narlikar,Engineer,1998-10-05,1955-12-19,Hirochika,9999-01-01
10653,Feinberg,Senior Engineer,1987-04-30,1953-06-16,Otmar,9999-01-01
10671,Rebaine,Senior Staff,2001-09-13,1953-06-12,Parviz,9999-01-01
10671,Rebaine,Staff,1995-09-14,1953-06-12,Parviz,2001-09-13
10676,Danley,Engineer,1999-09-04,1953-08-26,Valeri,9999-01-01
10693,Daescu,Senior Staff,1991-01-08,1953-12-14,Berhard,9999-01-01
10693,Daescu,Staff,1986-01-08,1953-12-14,Berhard,1991-01-08
10702,Szemeredi,Senior Engineer,1991-01-14,1952-11-25,Bader,9999-01-01
10718,Rullman,Engineer,1988-07-21,1955-12-19,Adib,1997-07-21
10718,Rullman,Senior Engineer,1997-07-21,1955-12-19,Adib,9999-01-01
10726,Minakawa,Engineer,1992-02-25,1954-01-11,Zita,2001-02-24
10726,Minakawa,Senior Engineer,2001-02-24,1954-01-11,Zita,9999-01-01
10734,Erdi,Engineer,1995-12-19,1954-07-06,Sachar,9999-01-01
10745,Ranze,Engineer,1988-01-23,1953-10-23,Poorav,1997-01-22
10745,Ranze,Senior Engineer,1997-01-22,1953-10-23,Poorav,9999-01-01
10749,Brendel,Engineer,1985-09-26,1955-08-21,King,1990-09-26
10749,Brendel,Senior Engineer,1990-09-26,1955-08-21,King,9999-01-01
10767,Doering,Staff,1997-07-15,1954-02-28,Monique,9999-01-01
10768,Candan,Engineer,1985-07-04,1955-06-24,Ishfaq,1990-07-04
10768,Candan,Senior Engineer,1990-07-04,1955-06-24,Ishfaq,9999-01-01
10778,Merey,Senior Staff,1986-07-04,1953-03-13,Selwyn,9999-01-01
10791,Sgarro,Engineer,1988-07-30,1954-05-27,Tadahiko,1995-07-31
10791,Sgarro,Senior Engineer,1995-07-31,1954-05-27,Tadahiko,9999-01-01
10795,Naudin,Senior Staff,1999-05-03,1954-12-14,Supot,9999-01-01
10795,Naudin,Staff,1993-05-03,1954-12-14,Supot,1999-05-03
10808,Leijenhorst,Senior Engineer,1987-03-07,1955-09-11,Chenxi,9999-01-01
10835,Kermarrec,Engineer,1995-08-22,1952-11-23,Tomoyuki,9999-01-01
10836,Leivant,Senior Staff,1987-08-10,1953-07-15,Jianhua,9999-01-01
10844,Koprowski,Engineer,1997-04-25,1954-02-03,Dipayan,9999-01-01
10847,Danley,Senior Staff,1992-07-24,1952-03-04,Theirry,9999-01-01
10847,Danley,Staff,1986-07-25,1952-03-04,Theirry,1992-07-24
10848,Bratsberg,Engineer,1985-04-20,1954-07-16,Fen,1992-04-20
10848,Bratsberg,Senior Engineer,1992-04-20,1954-07-16,Fen,9999-01-01
10878,Deville,Staff,1997-04-25,1952-06-13,Lakshmi,9999-01-01
10879,Chleq,Senior Engineer,1985-08-15,1953-08-18,Muzhong,9999-01-01
10883,Champarnaud,Engineer,1996-12-28,1952-07-30,Shimshon,9999-01-01
10909,Atchley,Engineer,1993-12-26,1954-11-11,Georgi,2000-12-26
10909,Atchley,Senior Engineer,2000-12-26,1954-11-11,Georgi,9999-01-01
10921,Bahi,Engineer,1986-07-27,1955-07-20,Mara,1995-07-27
10921,Bahi,Senior Engineer,1995-07-27,1955-07-20,Mara,9999-01-01
10924,Atchley,Senior Staff,1997-08-14,1954-04-27,Hironoby,9999-01-01
10924,Atchley,Staff,1988-08-14,1954-04-27,Hironoby,1997-08-14
10927,Scallan,Senior Staff,1993-09-12,1953-03-13,Gal,9999-01-01
10927,Scallan,Staff,1986-09-12,1953-03-13,Gal,1993-09-12
10936,Schicker,Senior Staff,1996-05-08,1953-04-08,Mountaz,9999-01-01
10936,Schicker,Staff,1990-05-09,1953-04-08,Mountaz,1996-05-08
10943,Skafidas,Engineer,1993-05-22,1955-11-19,Berna,1999-05-22
10943,Skafidas,Senior Engineer,1999-05-22,1955-11-19,Berna,9999-01-01
10965,Braunschweig,Senior Staff,1986-07-29,1955-07-10,Eckart,9999-01-01
10969,Noriega,Senior Engineer,1994-05-12,1954-09-05,Premal,9999-01-01
10974,Papsdorf,Senior Engineer,1999-05-17,1952-03-07,Muneo,9999-01-01
10986,Schiper,Technique Leader,1985-10-11,1954-08-11,Masako,9999-01-01
10988,Deyuan,Senior Engineer,1985-06-19,1955-06-24,Chinya,9999-01-01
10989,Candan,Senior Staff,1991-07-20,1954-09-08,Sumali,9999-01-01
10989,Candan,Staff,1985-07-20,1954-09-08,Sumali,1991-07-20
10990,Foote,Technique Leader,1990-08-06,1954-10-22,Shin,9999-01-01
11009,Axelband,Senior Staff,1993-09-09,1954-08-30,Alper,9999-01-01
11009,Axelband,Staff,1986-09-09,1954-08-30,Alper,1993-09-09
11012,Speckmann,Staff,1996-07-06,1953-09-12,Taegyun,9999-01-01
11019,Huttel,Engineer,1992-05-24,1954-09-06,Leon,1997-05-24
11019,Huttel,Senior Engineer,1997-05-24,1954-09-06,Leon,9999-01-01
11021,Henders,Staff,1998-02-02,1954-07-13,Srinidhi,9999-01-01
11027,Cappello,Assistant Engineer,1986-05-07,1955-12-13,Remzi,1991-05-07
11027,Cappello,Engineer,1991-05-07,1955-12-13,Remzi,1996-05-06
11027,Cappello,Senior Engineer,1996-05-06,1955-12-13,Remzi,9999-01-01
11031,Walstra,Senior Staff,1993-10-24,1954-12-20,Ottavia,9999-01-01
11031,Walstra,Staff,1985-10-24,1954-12-20,Ottavia,1993-10-24
11037,Maliniak,Engineer,1988-01-28,1952-05-22,Lansing,1995-01-28
11037,Maliniak,Senior Engineer,1995-01-28,1952-05-22,Lansing,9999-01-01
11038,Beidas,Senior Staff,1992-07-15,1955-10-13,Jinya,9999-01-01
11038,Beidas,Staff,1985-07-15,1955-10-13,Jinya,1992-07-15
11042,Breugel,Engineer,1993-06-21,1955-07-13,Gou,2000-06-21
11042,Breugel,Senior Engineer,2000-06-21,1955-07-13,Gou,9999-01-01
11048,Demke,Senior Staff,1999-05-27,1952-10-26,Jaques,9999-01-01
11050,Katiyar,Senior Staff,1991-05-06,1952-09-23,Elvis,9999-01-01
11050,Katiyar,Staff,1986-05-06,1952-09-23,Elvis,1991-05-06
11051,Erol,Engineer,1991-03-27,1952-10-06,Przemyslawa,2000-03-26
11051,Erol,Senior Engineer,2000-03-26,1952-10-06,Przemyslawa,9999-01-01
11070,Raney,Engineer,1985-07-24,1952-06-30,Adib,1991-07-24
11070,Raney,Senior Engineer,1991-07-24,1952-06-30,Adib,9999-01-01
11081,Boyle,Senior Staff,1994-06-17,1952-06-20,Barry,9999-01-01
11081,Boyle,Staff,1985-06-17,1952-06-20,Barry,1994-06-17
11085,Thummel,Senior Engineer,1996-02-10,1953-09-08,Hailing,9999-01-01
11100,Cochrane,Senior Staff,1993-10-13,1955-10-14,Berna,9999-01-01
11100,Cochrane,Staff,1986-10-13,1955-10-14,Berna,1993-10-13
11106,Iwayama,Assistant Engineer,1985-08-31,1955-02-23,Aris,1991-08-31
11106,Iwayama,Engineer,1991-08-31,1955-02-23,Aris,1997-08-30
11106,Iwayama,Senior Engineer,1997-08-30,1955-02-23,Aris,9999-01-01
11112,Mukaidono,Staff,1995-04-28,1954-08-05,Boaz,9999-01-01
11113,Peng,Senior Staff,1991-11-30,1953-04-28,Shahab,9999-01-01
11113,Peng,Staff,1985-11-30,1953-04-28,Shahab,1991-11-30
11121,Kakkad,Engineer,1992-10-31,1953-02-13,Vugranam,1999-11-01
11121,Kakkad,Senior Engineer,1999-11-01,1953-02-13,Vugranam,9999-01-01
11133,Azulay,Technique Leader,1994-03-06,1955-12-13,Nalini,9999-01-01
11134,Rajcani,Engineer,1993-05-19,1954-05-15,Sachar,2002-05-19
11134,Rajcani,Senior Engineer,2002-05-19,1954-05-15,Sachar,9999-01-01
11137,Luca,Engineer,1995-03-16,1955-03-17,Hugh,9999-01-01
11139,Homond,Senior Staff,1995-05-11,1955-10-13,Bogdan,9999-01-01
11139,Homond,Staff,1990-05-11,1955-10-13,Bogdan,1995-05-11
11146,Masand,Senior Staff,1997-08-21,1954-06-25,Ishfaq,9999-01-01
11146,Masand,Staff,1991-08-22,1954-06-25,Ishfaq,1997-08-21
11148,Botman,Senior Staff,1997-02-08,1953-01-23,Zhanqiu,9999-01-01
11148,Botman,Staff,1990-02-08,1953-01-23,Zhanqiu,1997-02-08
11162,Narlikar,Engineer,1985-03-28,1953-03-25,Kauko,1990-03-28
11162,Narlikar,Senior Engineer,1990-03-28,1953-03-25,Kauko,9999-01-01
11180,Bojadziev,Engineer,1986-06-11,1952-11-07,Mitsuyuki,1992-06-10
11180,Bojadziev,Senior Engineer,1992-06-10,1952-11-07,Mitsuyuki,9999-01-01
11197,Fordan,Senior Staff,1989-09-12,1955-05-11,Tadahiro,9999-01-01
11204,Covnot,Technique Leader,1985-09-18,1955-12-15,Diederik,9999-01-01
11207,Gips,Engineer,1999-01-31,1955-08-14,Saeed,9999-01-01
11208,Valtorta,Technique Leader,1994-11-17,1952-05-29,Saniya,9999-01-01
11211,Rissland,Senior Engineer,1985-09-17,1952-12-11,Yurij,9999-01-01
11217,Mawatari,Senior Engineer,1990-03-11,1954-07-01,Kellie,9999-01-01
11232,Crelier,Senior Staff,2000-08-01,1955-09-03,Hidefumi,9999-01-01
11232,Crelier,Staff,1994-08-02,1955-09-03,Hidefumi,2000-08-01
11240,Condotta,Assistant Engineer,1989-01-06,1955-08-12,Kiam,1997-01-06
11240,Condotta,Engineer,1997-01-06,1955-08-12,Kiam,9999-01-01
11249,Cyre,Assistant Engineer,1986-09-22,1954-10-01,Randi,1994-09-22
11249,Cyre,Engineer,1994-09-22,1954-10-01,Randi,9999-01-01
11251,Chinal,Senior Staff,1993-06-15,1955-10-16,Bezalel,9999-01-01
11251,Chinal,Staff,1986-06-15,1955-10-16,Bezalel,1993-06-15
11268,Petersohn,Engineer,1987-10-25,1954-05-14,Aimee,1995-10-25
11268,Petersohn,Senior Engineer,1995-10-25,1954-05-14,Aimee,9999-01-01
11275,Eppinger,Engineer,1989-04-25,1955-10-18,Hitomi,1998-04-25
11275,Eppinger,Senior Engineer,1998-04-25,1955-10-18,Hitomi,9999-01-01
11290,Dredge,Engineer,1999-05-13,1953-05-07,Visit,9999-01-01
11295,Lanzelotte,Senior Staff,1990-05-15,1953-02-03,Abdelkader,9999-01-01
11295,Lanzelotte,Staff,1985-05-15,1953-02-03,Abdelkader,1990-05-15
11319,Marrakchi,Assistant Engineer,1998-11-01,1955-06-05,Pranas,9999-01-01
11320,McAlpine,Senior Staff,1998-04-06,1954-04-13,Atilio,9999-01-01
11320,McAlpine,Staff,1990-04-06,1954-04-13,Atilio,1998-04-06
11322,Pocchiola,Assistant Engineer,1985-07-07,1952-07-19,Nathalie,1992-07-07
11322,Pocchiola,Engineer,1992-07-07,1952-07-19,Nathalie,1999-07-08
11322,Pocchiola,Senior Engineer,1999-07-08,1952-07-19,Nathalie,9999-01-01
11324,Billingsley,Senior Engineer,1985-08-29,1953-11-16,Kauko,9999-01-01
11338,Hanratty,Senior Staff,1998-10-28,1954-11-03,Kwangsub,9999-01-01
11339,Massonet,Senior Engineer,1989-12-19,1954-06-05,Flemming,9999-01-01
11347,Jonsson,Engineer,1986-04-20,1954-12-27,Anneli,1992-04-19
11347,Jonsson,Senior Engineer,1992-04-19,1954-12-27,Anneli,9999-01-01
11365,Shinomoto,Engineer,1997-12-18,1953-11-17,Toshimi,9999-01-01
11376,Suomi,Senior Staff,1994-03-14,1952-03-10,Valery,9999-01-01
11376,Suomi,Staff,1986-03-14,1952-03-10,Valery,1994-03-14
11380,Pelc,Assistant Engineer,1991-04-19,1952-04-23,Kenroku,1996-04-18
11380,Pelc,Engineer,1996-04-18,1952-04-23,Kenroku,2001-04-18
11380,Pelc,Senior Engineer,2001-04-18,1952-04-23,Kenroku,9999-01-01
11385,Ullian,Engineer,1999-08-08,1952-03-04,Shiv,9999-01-01
11386,Assaf,Engineer,1987-11-30,1954-09-27,Alselm,1993-11-29
11386,Assaf,Senior Engineer,1993-11-29,1954-09-27,Alselm,9999-01-01
11393,Junot,Engineer,1985-04-30,1954-05-17,Junsik,1992-04-30
11393,Junot,Senior Engineer,1992-04-30,1954-05-17,Junsik,9999-01-01
11398,Peir,Senior Staff,2001-09-07,1953-05-30,Oscar,9999-01-01
11398,Peir,Staff,1994-09-07,1953-05-30,Oscar,2001-09-07
11404,Borovoy,Technique Leader,1990-09-25,1954-09-15,Bedrich,9999-01-01
11415,Anido,Engineer,1996-12-07,1953-10-29,Sanjiv,9999-01-01
11421,Msuda,Engineer,1986-09-02,1953-11-07,Josyula,1995-09-02
11421,Msuda,Senior Engineer,1995-09-02,1953-11-07,Josyula,9999-01-01
11441,Aingworth,Senior Staff,1987-03-27,1954-11-16,Marlo,9999-01-01
11449,Asser,Engineer,1995-02-03,1955-03-30,Kotesh,2000-02-03
11449,Asser,Senior Engineer,2000-02-03,1955-03-30,Kotesh,9999-01-01
11459,Suomi,Senior Staff,1992-05-02,1953-10-14,Duke,9999-01-01
11459,Suomi,Staff,1986-05-03,1953-10-14,Duke,1992-05-02
11469,Giaccio,Engineer,1994-09-08,1952-12-01,Guttorm,1999-09-08
11469,Giaccio,Senior Engineer,1999-09-08,1952-12-01,Guttorm,9999-01-01
11506,Picel,Staff,1996-04-08,1955-06-16,Rance,9999-01-01
11509,Feldhoffer,Engineer,1987-11-12,1954-06-18,Aleksander,1992-11-11
11509,Feldhoffer,Senior Engineer,1992-11-11,1954-06-18,Aleksander,9999-01-01
11513,Mahnke,Senior Staff,1998-08-25,1954-07-16,Otmar,9999-01-01
11513,Mahnke,Staff,1992-08-25,1954-07-16,Otmar,1998-08-25
11515,Basawa,Staff,1998-09-21,1955-03-03,Ulf,9999-01-01
11518,Oxman,Senior Staff,1999-09-22,1953-07-21,Jinxi,9999-01-01
11518,Oxman,Staff,1994-09-22,1953-07-21,Jinxi,1999-09-22
11524,Standera,Senior Engineer,1996-07-05,1955-10-26,Xiadong,9999-01-01
11527,Boyle,Staff,1999-01-28,1952-02-06,Alagu,9999-01-01
11528,Dolinsky,Technique Leader,1987-06-15,1955-04-26,Zito,9999-01-01
11537,Pehl,Senior Staff,1986-07-06,1955-06-29,DAIDA,9999-01-01
11554,Taubenfeld,Staff,1998-07-15,1955-05-28,Subhash,9999-01-01
11555,Perfilyeva,Senior Staff,1991-10-14,1955-08-05,Kotesh,9999-01-01
11555,Perfilyeva,Staff,1986-10-14,1955-08-05,Kotesh,1991-10-14
11567,Mitzlaff,Senior Staff,1996-02-03,1954-07-06,Teiji,9999-01-01
11567,Mitzlaff,Staff,1988-02-03,1954-07-06,Teiji,1996-02-03
11568,Fujisaki,Engineer,1992-03-13,1955-12-01,Martins,2000-03-13
11568,Fujisaki,Senior Engineer,2000-03-13,1955-12-01,Martins,9999-01-01
11603,Swen,Senior Staff,1994-04-13,1954-12-07,Herb,9999-01-01
11603,Swen,Staff,1985-04-13,1954-12-07,Herb,1994-04-13
11607,Foong,Engineer,1995-04-19,1953-12-03,Tomokazu,9999-01-01
11615,Isaak,Senior Staff,2000-08-28,1955-03-05,Shem,9999-01-01
11615,Isaak,Staff,1991-08-29,1955-03-05,Shem,2000-08-28
11624,Gammage,Engineer,1989-07-15,1955-05-16,Adil,1996-07-15
11624,Gammage,Senior Engineer,1996-07-15,1955-05-16,Adil,9999-01-01
11628,Malinowski,Engineer,1988-10-23,1952-02-14,Fan,1997-10-23
11628,Malinowski,Senior Engineer,1997-10-23,1952-02-14,Fan,9999-01-01
11640,Coorg,Senior Engineer,1988-09-26,1953-10-06,Valeri,9999-01-01
11647,Nitsche,Engineer,1988-05-11,1953-10-13,Magy,1993-05-11
11647,Nitsche,Senior Engineer,1993-05-11,1953-10-13,Magy,9999-01-01
11660,Stenning,Senior Staff,1994-11-22,1955-07-19,Gill,9999-01-01
11660,Stenning,Staff,1986-11-22,1955-07-19,Gill,1994-11-22
11673,Felder,Technique Leader,1989-06-10,1954-12-20,Henk,9999-01-01
11676,Ferriere,Engineer,1998-07-15,1952-04-12,Valeri,9999-01-01
11681,Benzmuller,Engineer,1988-08-27,1952-05-15,Fumitake,1995-08-28
11681,Benzmuller,Senior Engineer,1995-08-28,1952-05-15,Fumitake,9999-01-01
11684,Gide,Senior Staff,1995-02-21,1953-03-07,Oksana,9999-01-01
11684,Gide,Staff,1986-02-21,1953-03-07,Oksana,1995-02-21
11696,Rothe,Senior Staff,1994-10-23,1954-10-26,Dante,9999-01-01
11696,Rothe,Staff,1985-10-23,1954-10-26,Dante,1994-10-23
11732,Ranft,Senior Engineer,1996-12-22,1955-06-14,Sanjoy,9999-01-01
11735,Picci,Senior Staff,1997-07-14,1955-02-19,Amalendu,9999-01-01
11735,Picci,Staff,1988-07-14,1955-02-19,Amalendu,1997-07-14
11746,Marrakchi,Senior Staff,1995-11-18,1952-05-22,Koichi,9999-01-01
11746,Marrakchi,Staff,1988-11-17,1952-05-22,Koichi,1995-11-18
11751,Emiris,Senior Staff,1993-11-03,1953-02-02,Jiafu,9999-01-01
11751,Emiris,Staff,1988-11-03,1953-02-02,Jiafu,1993-11-03
11764,Anick,Engineer,1991-12-16,1953-04-22,Sanjay,1996-12-15
11764,Anick,Senior Engineer,1996-12-15,1953-04-22,Sanjay,9999-01-01
11769,Lampe,Senior Staff,2001-10-22,1953-07-17,Chandrasekaran,9999-01-01
11769,Lampe,Staff,1993-10-22,1953-07-17,Chandrasekaran,2001-10-22
11772,Penz,Engineer,1999-11-07,1954-06-19,Gaurav,9999-01-01
11797,Thambidurai,Senior Staff,1996-08-30,1954-08-12,Chenxi,9999-01-01
11797,Thambidurai,Staff,1988-08-30,1954-08-12,Chenxi,1996-08-30
11810,Bhattacharjee,Senior Engineer,1992-01-05,1952-12-08,Amabile,9999-01-01
11817,Markovitch,Senior Staff,1993-04-12,1955-05-25,Niranjan,9999-01-01
11817,Markovitch,Staff,1986-04-12,1955-05-25,Niranjan,1993-04-12
11832,Zlotek,Engineer,1996-02-04,1952-05-18,Arto,9999-01-01
11844,Demeyer,Engineer,1988-01-27,1953-10-30,Shawna,1995-01-27
11844,Demeyer,Senior Engineer,1995-01-27,1953-10-30,Shawna,9999-01-01
11853,Kusakabe,Senior Staff,1996-11-17,1952-06-19,Zeljko,9999-01-01
11853,Kusakabe,Staff,1988-11-17,1952-06-19,Zeljko,1996-11-17
11857,Farrag,Senior Staff,1986-08-27,1955-12-03,Divier,9999-01-01
11864,Kriebel,Staff,1995-11-02,1952-06-14,Pradeep,9999-01-01
11871,Sommen,Engineer,1993-10-13,1953-05-02,Nalini,1998-10-13
11871,Sommen,Senior Engineer,1998-10-13,1953-05-02,Nalini,9999-01-01
11872,Riexinger,Senior Staff,2002-02-12,1953-01-17,Cheong,9999-01-01
11872,Riexinger,Staff,1994-02-12,1953-01-17,Cheong,2002-02-12
11894,Validov,Senior Engineer,1988-06-22,1954-12-23,Mitchel,9999-01-01
11897,Setlzner,Senior Staff,1997-06-16,1952-11-23,Cordelia,9999-01-01
11897,Setlzner,Staff,1988-06-16,1952-11-23,Cordelia,1997-06-16
11906,Boguraev,Engineer,1999-02-07,1955-04-26,Hideo,9999-01-01
11915,Mawatari,Engineer,1992-06-28,1954-08-16,Miomir,2001-06-28
11915,Mawatari,Senior Engineer,2001-06-28,1954-08-16,Miomir,9999-01-01
11931,Chiodo,Senior Staff,2000-01-13,1952-10-30,Gunilla,9999-01-01
11931,Chiodo,Staff,1991-01-13,1952-10-30,Gunilla,2000-01-13
11933,Erman,Engineer,1987-06-13,1953-08-15,Basil,1992-06-12
11933,Erman,Senior Engineer,1992-06-12,1953-08-15,Basil,9999-01-01
11949,Harbusch,Technique Leader,1985-03-11,1953-01-27,Martijn,9999-01-01
11983,Hedayat,Engineer,1986-10-11,1953-01-04,Jaana,1994-10-11
